n;rounds;multicasts;min_time;max_time;avg_time
54;10;51;0.002131;0.124280;0.095102
58;12;56;0.003280;0.116506;0.095735
62;11;58;0.001842;0.108770;0.093439
66;10;65;0.002200;0.113802;0.094440
70;12;72;0.001928;0.106092;0.094314
74;15;85;0.002995;0.119799;0.097433
78;11;79;0.002886;0.118173;0.096623
82;13;73;0.003497;0.109348;0.095235
86;10;83;0.005985;0.124451;0.095208
90;12;75;0.001512;0.121619;0.096635
94;12;84;0.002815;0.113728;0.096070
144;11;135;0.004033;0.132431;0.096471
194;13;200;0.001469;0.106071;0.094808
244;1;113;0.135063;0.135063;0.135063
94;13;93;0.003282;0.179546;0.107537
144;12;148;0.002819;0.203431;0.105670
94;16;98;0.002563;0.172903;0.106967
144;12;137;0.003768;0.203508;0.105296
94;14;100;0.002079;0.106627;0.095500
144;12;152;0.003860;0.133067;0.096936
194;13;191;0.003932;0.152409;0.099600
244;1;113;0.133433;0.133433;0.133433
